2025-07-21 09:44:59 | INFO | PID:9668 | Attempting to verify queue 'article-content-request-queue'
2025-07-21 09:44:59 | INFO | PID:9668 | RabbitMQ Host: localhost, Port: 15672
2025-07-21 09:44:59 | INFO | PID:9668 | Successfully created channel
2025-07-21 09:44:59 | INFO | PID:9668 | Attempting AMQP check for queue 'article-content-request-queue'
2025-07-21 09:44:59 | INFO | PID:9668 | Queue 'article-content-request-queue' exists (verified via AMQP)
2025-07-21 09:45:03 | INFO | PID:19260 | Starting worker url_rewriter_content_request_worker for queue article-content-request-queue
2025-07-21 09:45:03 | INFO | PID:19260 | Created new channel
2025-07-21 09:45:03 | INFO | PID:19260 | Declared queue: article-content-request-queue
2025-07-21 09:45:03 | INFO | PID:19260 | Available workers: ['testworker', 'url_rewriter_content_request_worker', 'url_rewriter_content_response_worker', 'url_rewriter_para_request_worker', 'url_rewriter_para_response_worker']
2025-07-21 09:45:03 | INFO | PID:19260 | Found worker class: UrlRewriterParallelWorker
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-21 09:45:03 | WARNING | PID:19260 | Detected localhost connection - disabling SSL verification for development
2025-07-21 09:45:03 | WARNING | PID:19260 | ⚠️  SSL verification is disabled - DO NOT use this in production!
