2025-07-10 03:53:29 | INFO | PID:7 | Attempting to verify queue 'article-request-queue'
2025-07-10 03:53:29 | INFO | PID:7 | RabbitMQ Host: rabbitmq, Port: 15672
2025-07-10 03:53:29 | INFO | PID:7 | Successfully created channel
2025-07-10 03:53:29 | INFO | PID:7 | Attempting AMQP check for queue 'article-request-queue'
2025-07-10 03:53:29 | INFO | PID:7 | Queue 'article-request-queue' exists (verified via AMQP)
2025-07-10 03:53:29 | INFO | PID:12 | Starting worker url_rewriter_para_request_worker for queue article-request-queue
2025-07-10 03:53:29 | INFO | PID:12 | Created new channel
2025-07-10 03:53:29 | INFO | PID:12 | Declared queue: article-request-queue
2025-07-10 03:53:29 | INFO | PID:12 | Available workers: ['testworker', 'url_rewriter_para_response_worker', 'url_rewriter_para_request_worker']
2025-07-10 03:53:29 | INFO | PID:12 | Found worker class: UrlRewriterParallelWorker
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Using system's default CA bundle for SSL verification
2025-07-10 03:53:29 | INFO | PID:12 | Worker instance created
2025-07-10 03:53:29 | INFO | PID:12 | Got process ID: 12
2025-07-10 03:53:29 | INFO | PID:12 | Registered worker process 12 in registry with tag url_rewriter_para_request_worker_12_1752119609
2025-07-10 03:53:29 | INFO | PID:12 | Starting consuming on article-request-queue
2025-07-10 03:53:29 | INFO | PID:12 | Started url_rewriter_para_request_worker on queue: article-request-queue
2025-07-10 03:53:29 | INFO | PID:12 | Started url_rewriter_para_request_worker with PID: 12, queue: article-request-queue
2025-07-10 03:53:29 | WARNING | PID:12 | Attempt 1: Worker not found in RabbitMQ consumers
2025-07-10 03:53:31 | WARNING | PID:12 | Attempt 2: Worker not found in RabbitMQ consumers
2025-07-10 03:53:33 | WARNING | PID:12 | Attempt 3: Worker not found in RabbitMQ consumers
2025-07-10 03:53:34 | WARNING | PID:12 | No open connection/channel: connecting...
2025-07-10 03:53:34 | INFO | PID:12 | Successfully connected on attempt 1
2025-07-10 03:53:34 | INFO | PID:12 | Consumer registered on queue: article-request-queue
2025-07-10 03:53:34 | INFO | PID:12 | Starting consuming on article-request-queue
2025-07-10 03:53:35 | WARNING | PID:12 | Attempt 4: Worker not found in RabbitMQ consumers
2025-07-10 03:53:37 | INFO | PID:12 | Worker url_rewriter_para_request_worker_12_1752119609 verified in RabbitMQ consumers
2025-07-10 03:53:40 | INFO | PID:12 | Processing message from queue: article-request-queue
2025-07-10 03:53:54 | INFO | PID:12 | Successfully authenticated with API
2025-07-10 03:53:54 | INFO | PID:12 | Making GET request to /api/article-type/replace-output-variable/ (Attempt 1/3)
2025-07-10 03:53:56 | INFO | PID:12 | Successfully authenticated with API
2025-07-10 03:53:56 | INFO | PID:12 | Making GET request to /api/supportive-prompt/replace-output-variable/ (Attempt 1/3)
2025-07-10 03:54:04 | INFO | PID:12 | Successfully authenticated with API
2025-07-10 03:54:04 | INFO | PID:12 | Making GET request to /message-service-api/ai-messages/ (Attempt 1/3)
2025-07-10 03:54:07 | INFO | PID:12 | Successfully authenticated with API
2025-07-10 03:54:07 | INFO | PID:12 | Making POST request to /message-service-api/ai-message/add/ (Attempt 1/3)
2025-07-10 03:54:38 | INFO | PID:12 | Making update request to endpoint: /message-service-api/ai-message/update/abd55a9e-795f-4fbe-95ab-d232eefe9942/eae83aa4-72f0-44e6-8aac-c503d4c47e77/
2025-07-10 03:54:39 | INFO | PID:12 | Successfully authenticated with API
2025-07-10 03:54:39 | INFO | PID:12 | Making PATCH request to /message-service-api/ai-message/update/abd55a9e-795f-4fbe-95ab-d232eefe9942/eae83aa4-72f0-44e6-8aac-c503d4c47e77/ (Attempt 1/3)
2025-07-10 03:54:52 | INFO | PID:12 | Successfully authenticated with API
2025-07-10 03:54:52 | INFO | PID:12 | Making POST request to /message-service-api/ai-message/add/ (Attempt 1/3)
2025-07-10 03:54:53 | INFO | PID:12 | Making POST request to /message-service-api/ai-message/add/ (Attempt 1/3)
2025-07-10 03:54:54 | INFO | PID:12 | Making POST request to /message-service-api/ai-message/add/ (Attempt 1/3)
2025-07-10 03:54:55 | INFO | PID:12 | xxxxxxxxxxxxxxxxxxxxxxxxx url_rewriter_para_request_worker xxxxxxxxxxxxxxxxxxxxxxxxx
2025-07-10 03:54:55 | INFO | PID:12 | Message processed in 75.77 seconds
2025-07-10 03:54:55 | INFO | PID:12 | Message acknowledged
2025-07-10 03:54:57 | INFO | PID:7 | Attempting to verify queue 'article-response-queue'
2025-07-10 03:54:57 | INFO | PID:7 | RabbitMQ Host: rabbitmq, Port: 15672
