2025-07-16 08:56:49 | INFO | PID:1416 | Attempting to verify queue 'article-content-request-queue'
2025-07-16 08:56:49 | INFO | PID:1416 | RabbitMQ Host: localhost, Port: 15672
2025-07-16 08:56:49 | INFO | PID:1416 | Successfully created channel
2025-07-16 08:56:49 | INFO | PID:1416 | Attempting AMQP check for queue 'article-content-request-queue'
2025-07-16 08:56:49 | INFO | PID:1416 | Queue 'article-content-request-queue' exists (verified via AMQP)
2025-07-16 08:56:52 | INFO | PID:8108 | Starting worker url_rewriter_content_request_worker for queue article-content-request-queue
2025-07-16 08:56:52 | INFO | PID:8108 | Created new channel
2025-07-16 08:56:52 | INFO | PID:8108 | Declared queue: article-content-request-queue
2025-07-16 08:56:52 | INFO | PID:8108 | Available workers: ['testworker', 'url_rewriter_content_request_worker', 'url_rewriter_para_request_worker', 'url_rewriter_para_response_worker']
2025-07-16 08:56:52 | INFO | PID:8108 | Found worker class: UrlRewriterParallelWorker
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:52 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:52 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:53 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:53 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:53 | WARNING | PID:8108 | Detected localhost connection - disabling SSL verification for development
2025-07-16 08:56:53 | WARNING | PID:8108 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-16 08:56:53 | INFO | PID:8108 | Worker instance created
2025-07-16 08:56:53 | INFO | PID:8108 | Got process ID: 8108
2025-07-16 08:56:53 | INFO | PID:8108 | Registered worker process 8108 in registry with tag url_rewriter_content_request_worker_8108_1752636413
2025-07-16 08:56:53 | INFO | PID:8108 | Starting consuming on article-content-request-queue
2025-07-16 08:56:53 | INFO | PID:8108 | Started url_rewriter_content_request_worker on queue: article-content-request-queue
2025-07-16 08:56:53 | INFO | PID:8108 | Started url_rewriter_content_request_worker with PID: 8108, queue: article-content-request-queue
2025-07-16 08:56:55 | WARNING | PID:8108 | Attempt 1: Worker not found in RabbitMQ consumers
2025-07-16 08:56:58 | WARNING | PID:8108 | No open connection/channel: connecting...
2025-07-16 08:56:58 | INFO | PID:8108 | Successfully connected on attempt 1
2025-07-16 08:56:58 | INFO | PID:8108 | Consumer registered on queue: article-content-request-queue
2025-07-16 08:56:58 | INFO | PID:8108 | Starting consuming on article-content-request-queue
2025-07-16 08:56:59 | WARNING | PID:8108 | Attempt 2: Worker not found in RabbitMQ consumers
2025-07-16 08:57:03 | INFO | PID:8108 | Worker url_rewriter_content_request_worker_8108_1752636413 verified in RabbitMQ consumers
2025-07-16 08:57:17 | INFO | PID:8108 | Processing message from queue: article-content-request-queue
2025-07-16 08:57:42 | INFO | PID:8108 | Successfully authenticated with API
2025-07-16 08:57:42 | INFO | PID:8108 | Making GET request to /message-service-api/ai-messages/ (Attempt 1/3)
2025-07-16 08:57:42 | INFO | PID:8108 | Making POST request to /message-service-api/ai-message/add/ (Attempt 1/3)
2025-07-16 08:57:44 | INFO | PID:8108 | xxxxxxxxxxxxxxxxxxxxxxxxx url_rewriter_content_request_worker xxxxxxxxxxxxxxxxxxxxxxxxx
2025-07-16 08:57:44 | INFO | PID:8108 | Message processed in 26.57 seconds
2025-07-16 08:57:44 | INFO | PID:8108 | Message acknowledged
2025-07-16 08:57:49 | WARNING | PID:8108 | No open connection/channel: connecting...
2025-07-16 08:57:49 | INFO | PID:8108 | Successfully connected on attempt 1
2025-07-16 08:57:49 | INFO | PID:8108 | Consumer registered on queue: article-content-request-queue
2025-07-16 08:57:49 | INFO | PID:8108 | Starting consuming on article-content-request-queue
2025-07-16 09:01:03 | INFO | PID:24636 | Attempting to verify queue 'article-content-request-queue'
2025-07-16 09:01:03 | INFO | PID:24636 | RabbitMQ Host: localhost, Port: 15672
2025-07-16 09:01:03 | INFO | PID:24636 | Successfully created channel
2025-07-16 09:01:03 | INFO | PID:24636 | Attempting AMQP check for queue 'article-content-request-queue'
2025-07-16 09:01:03 | INFO | PID:24636 | Queue 'article-content-request-queue' exists (verified via AMQP)
